Sale Date,Order ID,Number of Items,Payment Method,Date Shipped,Ship City,Ship State,Ship Zipcode,Ship Country,Currency,Order Value,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Shipping,Sales Tax,Order Total,Status,Card Processing Fees,Order Net,Adjusted Order Total,Adjusted Card Processing Fees,Adjusted Net Order Amount,Order Type,Payment Type,InPerson Discount,InPerson Location
12/31/2019,1566696207,1,Credit Card,1/2/2020,Manchester,NH,3104,United States,USD,10,,,0,0,0,0,10,,0.55,9.45,,,,online,online_cc,,
12/31/2019,1566506415,1,Credit Card,1/2/2020,FLORISSANT,MO,63033,United States,USD,45,,,0,0,0,0,45,,1.6,43.4,,,,online,online_cc,,
12/31/2019,1566502973,1,Credit Card,1/2/2020,Columbus,OH,43213,United States,USD,15,,,0,0,0,0,16.13,,0.73,14.27,,,,online,online_cc,,
12/31/2019,1566437123,1,Credit Card,1/1/2020,STURGIS,MI,49091-9642,United States,USD,22,,,0,0,0,0,22,,0.91,21.09,,,,online,online_cc,,
12/30/2019,1566195797,1,Credit Card,1/2/2020,Fort Worth,TX,76123,United States,USD,35,,,0,0,0,0,37.9,,1.39,33.61,,,,online,online_cc,,
12/30/2019,1556483460,1,Credit Card,1/1/2020,Fishers,IN,46037,United States,USD,18,,,0,0,0,0,19.26,,0.83,17.17,,,,online,online_cc,,
12/30/2019,1566042729,1,Credit Card,1/2/2020,Westlake,TX,76262-9082,United States,USD,18,,,0,0,0,0,19.49,,0.83,17.17,,,,online,online_cc,,
12/29/2019,1565916791,1,Credit Card,12/30/2019,CHICAGO,IL,60622-5669,United States,USD,20,,,0,0,5,0,25,,1,24,,,,online,online_cc,,
12/29/2019,1565803571,1,Credit Card,12/30/2019,EVERETT,WA,98204,United States,USD,10,,,0,0,5,0,16.48,,0.74,14.26,,,,online,online_cc,,
12/29/2019,1565714473,1,Credit Card,12/30/2019,Chicago,IL,60646,United States,USD,18,,,0,0,0,0,18,,0.79,17.21,,,,online,online_cc,,
12/28/2019,1555899300,1,Credit Card,12/30/2019,Calgary,AB,T2v3g5,Canada,USD,15,,,0,0,17,0,32,,1.21,30.79,,,,online,online_cc,,
12/27/2019,1555612850,1,Credit Card,12/30/2019,WASHINGTON,DC,20003,United States,USD,40,,,0,0,0,0,42.4,,1.52,38.48,,,,online,online_cc,,
12/27/2019,1555597670,5,Credit Card,12/28/2019,Havre de Grace,MD,21078,United States,USD,63,,,0,0,0,0,66.78,,2.25,60.75,,,,online,online_cc,,
12/27/2019,1555332478,1,Credit Card,12/28/2019,Evans,GA,30809,United States,USD,60,,,0,0,0,0,60,,2.05,57.95,,,,online,online_cc,,
12/26/2019,1555205212,2,Credit Card,12/28/2019,Snellville,GA,30078,United States,USD,35,,,0,0,0,0,35,,1.3,33.7,,,,online,online_cc,,
12/26/2019,1555006778,1,Credit Card,12/27/2019,Sturgeon bay,WI,54235,United States,USD,50,,,0,0,0,0,52.75,,1.83,48.17,,,,online,online_cc,,
12/24/2019,1564148029,1,Credit Card,12/26/2019,St Petersburg,FL,33712,United States,USD,18,,,0,0,0,0,18,,0.79,17.21,,,,online,online_cc,,
12/24/2019,1564125609,1,Credit Card,12/26/2019,Brooklyn,NY,11211-4307,United States,USD,35,,,0,0,0,0,38.11,,1.39,33.61,,,,online,online_cc,,
12/24/2019,1554493570,1,Credit Card,12/26/2019,Van Buren,IN,46991,United States,USD,25,,,0,0,0,0,26.75,,1.05,23.95,,,,online,online_cc,,
12/24/2019,1563971063,1,Credit Card,12/26/2019,Sparks,NV,89436-6365,United States,USD,18,,,0,0,0,0,19.49,,0.83,17.17,,,,online,online_cc,,
12/23/2019,1563730615,1,Credit Card,12/26/2019,IMPERIAL,MO,63052,United States,USD,25,,,0,0,0,0,25,,1,24,,,,online,online_cc,,
12/23/2019,1563721525,1,Credit Card,12/24/2019,Frankfort,IL,60423,United States,USD,20,,,0,0,0,0,20,,0.85,19.15,,,,online,online_cc,,
12/23/2019,1554089196,1,Credit Card,12/23/2019,oswego,NY,13126,United States,USD,20,,,0,0,5,0,27,,1.06,23.94,,,,online,online_cc,,
12/22/2019,1563532465,1,Credit Card,12/23/2019,Mount Perry,OH,43760,United States,USD,15,,,0,0,0,0,16.09,,0.73,14.27,,,,online,online_cc,,
12/22/2019,1553843038,1,Credit Card,12/23/2019,COLORADO SPRINGS,CO,80903,United States,USD,40,,,0,0,5,0,46.56,,1.65,43.35,,,,online,online_cc,,
12/22/2019,1563270951,1,Credit Card,12/24/2019,Dover,DE,19901-9322,United States,USD,60,45ORMORE,% off,12,0,0,0,48,,1.69,46.31,,,,online,online_cc,,
12/21/2019,1553648260,1,Credit Card,12/24/2019,LAGUNA WOODS,CA,92637,United States,USD,25,,,0,0,0,0,26.94,,1.06,23.94,,,,online,online_cc,,
