Sale Date,Order ID,Number of Items,Payment Method,Date Shipped,Ship City,Ship State,Ship Zipcode,Ship Country,Currency,Order Value,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Shipping,Sales Tax,Order Total,Status,Card Processing Fees,Order Net,Adjusted Order Total,Adjusted Card Processing Fees,Adjusted Net Order Amount,Order Type,Payment Type
6/4/2020,1663091444,1,Credit Card,,Delaware,OH,43015,United States,USD,24.99,,,0,0,0,0,26.74,,1.05,23.94,,,,online,online_cc
6/3/2020,1672574195,1,Credit Card,6/4/2020,Steinauer,NE,68441,United States,USD,34.95,,,0,0,0,0,36.87,,1.36,33.59,,,,online,online_cc
6/3/2020,1662388422,1,Credit Card,6/5/2020,Lihue,HI,96766,United States,USD,14.95,,,0,0,0,0,15.62,,0.72,14.23,,,,online,online_cc
6/3/2020,1661655122,1,Credit Card,,NEW YORK,NY,10016-6047,United States,USD,15.95,,,0,0,5,0,22.82,,0.93,20.02,,,,online,online_cc
6/2/2020,1671361905,1,Credit Card,6/3/2020,Mission Viejo,CA,92691,United States,USD,9.95,,,0,0,0,0,10.72,,0.57,9.38,,,,online,online_cc
6/2/2020,1671254669,1,Credit Card,6/5/2020,NEWPORT,KY,41071,United States,USD,19.95,,,0,0,0,0,21.15,,0.88,19.07,,,,online,online_cc
6/2/2020,1670803339,1,Credit Card,6/2/2020,Temple Hills,MD,20748,United States,USD,24.95,,,0,0,0,0,26.45,,1.04,23.91,,,,online,online_cc
6/1/2020,1659643874,1,Credit Card,6/2/2020,Dalton,PA,18414,United States,USD,34.95,,,0,0,5,0,42.35,,1.52,38.43,,,,online,online_cc
5/31/2020,1669723037,1,Credit Card,6/2/2020,lawrenceville,GA,30044,United States,USD,38,,,0,0,0,0,40.28,,1.46,36.54,,,,online,online_cc
5/31/2020,1669599599,1,Credit Card,6/2/2020,La Mesa,CA,91941,United States,USD,24.95,,,0,0,0,0,27.07,,1.06,23.89,,,,online,online_cc
5/31/2020,1669266119,1,Credit Card,6/2/2020,San Antonio,TX,78247-5120,United States,USD,14.95,,,0,0,0,0,16.18,,0.74,14.21,,,,online,online_cc
5/31/2020,1659081748,2,Credit Card,6/1/2020,Venice,FL,34292,United States,USD,117.4,,,0,0,0,0,117.4,,3.77,113.63,,,,online,online_cc
5/31/2020,1658964308,1,Credit Card,5/31/2020,Richland,MI,49083,United States,USD,12.95,,,0,0,0,0,13.73,,0.66,12.29,,,,online,online_cc
5/30/2020,1658594790,1,Credit Card,5/31/2020,SAN ANTONIO,TX,78249,United States,USD,45,,,0,0,0,0,48.71,,1.71,43.29,,,,online,online_cc
5/30/2020,1658244778,1,Credit Card,5/31/2020,Fairbanks,AK,99709,United States,USD,24.95,,,0,0,5,0,29.95,,1.15,28.8,,,,online,online_cc
5/30/2020,1658091030,1,Credit Card,6/1/2020,Washington,DC,20011,United States,USD,44.95,,,0,0,0,0,47.65,,1.68,43.27,,,,online,online_cc
5/29/2020,1657635146,1,Credit Card,5/31/2020,Utica,NY,13502,United States,USD,19.95,,,0,0,0,0,21.7,,0.9,19.05,,,,online,online_cc
5/29/2020,1667688249,1,Credit Card,5/29/2020,Avon,IN,46123,United States,USD,15,,,0,0,0,0,16.05,,0.73,14.27,,,,online,online_cc
5/28/2020,1666851189,1,Credit Card,5/30/2020,Bonney lake,WA,98391,United States,USD,19.95,,,0,0,0,0,21.81,,0.9,19.05,,,,online,online_cc
5/28/2020,1666366221,2,Credit Card,6/1/2020,Nashville,TN,37211-5155,United States,USD,24,,,0,0,0,0,24,,0.97,23.03,,,,online,online_cc
5/28/2020,1666244509,1,Credit Card,5/31/2020,Wellesley,MA,2482,United States,USD,15.95,,,0,0,0,0,16.95,,0.76,15.19,,,,online,online_cc
5/28/2020,1666031619,1,Credit Card,6/1/2020,Keene,NH,3431,United States,USD,38.95,,,0,0,0,0,38.95,,1.42,37.53,,,,online,online_cc
5/28/2020,1655838512,1,Credit Card,5/29/2020,San Francisco,CA,94112-1812,United States,USD,29.95,,,0,0,5,0,37.49,,1.37,33.58,,,,online,online_cc
5/27/2020,1665873077,1,Credit Card,5/30/2020,Burleson,TX,76028,United States,USD,34.95,,,0,0,0,2.87,37.82,,1.38,33.57,,,,online,online_cc
5/27/2020,1665432521,1,Credit Card,5/30/2020,Fair Lawn,NJ,7410,United States,USD,39.95,,,0,0,0,0,42.6,,1.53,38.42,,,,online,online_cc
5/26/2020,1654719028,1,Credit Card,5/26/2020,Rockville,MD,20850,United States,USD,15.95,,,0,0,0,0,16.91,,0.76,15.19,,,,online,online_cc
5/26/2020,1654563108,1,Credit Card,5/28/2020,Duluth,GA,30096-4128,United States,USD,15,,,0,0,0,0,15.9,,0.73,14.27,,,,online,online_cc
5/26/2020,1654382624,1,Credit Card,5/29/2020,RED CREEK,NY,13143,United States,USD,25,,,0,0,0,0,27,,1.06,23.94,,,,online,online_cc
5/26/2020,1664422465,1,Credit Card,5/28/2020,Chino Hills,CA,91709,United States,USD,18,,,0,0,0,0,19.4,,0.83,17.17,,,,online,online_cc
5/26/2020,1664211591,1,Credit Card,5/29/2020,Niagara,WI,54151,United States,USD,14.95,,,0,0,0,0,15.77,,0.72,14.23,,,,online,online_cc
5/25/2020,1653586018,1,Credit Card,5/28/2020,Bryan,TX,77801,United States,USD,17.95,,,0,0,0,0,19.43,,0.83,17.12,,,,online,online_cc
5/25/2020,1653274820,1,Credit Card,5/28/2020,Lafayette,IN,47905,United States,USD,19.49,,,0,0,0,0,20.85,,0.88,18.61,,,,online,online_cc
5/25/2020,1653031982,1,Credit Card,5/28/2020,Iowa City,IA,52245,United States,USD,35.95,,,0,0,0,0,38.11,,1.39,34.56,,,,online,online_cc
